user_id,game_id,rating
1,20,3.9
1,15,2.6
1,4,3.5
1,25,4.8
1,24,1.7
2,12,3.2
2,19,5.0
2,2,3.5
2,28,2.1
2,24,2.5
2,20,3.5
2,34,4.4
2,40,3.4
2,13,2.4
2,5,4.4
2,27,5.0
2,11,3.6
2,17,3.1
3,9,4.7
3,31,3.1
3,29,2.7
3,2,2.8
3,8,4.4
3,14,4.1
4,8,3.3
4,35,3.4
4,15,4.5
4,30,3.2
4,4,3.8
5,6,2.0
5,37,3.3
5,29,3.1
5,2,3.9
5,33,3.6
5,21,3.9
5,17,3.3
5,3,4.4
5,27,4.0
5,13,5.0
5,9,3.2
5,12,3.6
5,30,4.0
5,20,3.0
6,6,2.7
6,4,3.9
6,18,2.7
6,37,3.2
6,16,3.4
6,8,2.9
6,31,2.3
7,36,3.3
7,39,2.7
7,6,2.9
7,20,4.0
7,14,4.4
7,21,3.5
7,40,5.0
7,8,3.0
8,22,4.6
8,20,4.2
8,18,4.1
8,17,3.5
8,40,2.8
8,34,3.7
8,16,3.2
8,25,2.4
9,29,3.7
9,8,2.5
9,33,4.1
9,27,4.8
9,20,2.0
9,6,2.2
9,22,2.2
9,31,3.3
9,36,3.2
9,40,2.7
9,13,3.9
9,39,2.5
9,3,4.2
10,35,3.9
10,1,3.9
10,28,4.2
10,25,3.2
10,8,4.5
10,23,3.8
11,21,3.6
11,9,4.6
11,19,3.7
11,5,3.1
11,33,2.1
11,32,3.0
12,9,3.0
12,24,4.8
12,20,4.9
12,4,3.3
12,22,3.7
12,10,3.9
12,6,2.4
12,21,3.5
13,24,5.0
13,30,3.2
13,5,3.6
13,2,2.6
13,19,3.8
13,36,3.7
13,22,2.9
13,33,4.5
13,37,3.4
13,34,4.3
13,38,3.0
13,28,3.4
13,23,4.8
13,6,4.5
13,32,2.9
14,5,4.1
14,35,3.7
14,38,3.7
14,15,2.4
14,31,2.4
14,18,3.9
14,26,3.5
14,24,4.7
14,3,3.7
14,9,4.2
14,33,2.6
14,39,4.3
15,3,3.6
15,38,3.6
15,23,4.0
15,24,2.1
15,18,3.7
15,25,3.4
15,37,3.8
15,34,3.0
15,27,3.2
16,39,2.9
16,26,4.3
16,34,3.4
16,15,2.6
16,23,4.6
16,1,4.1
16,29,2.9
16,16,3.8
16,3,2.7
16,13,3.5
17,36,2.9
17,19,2.7
17,28,3.4
17,9,3.4
17,11,4.6
17,14,4.4
17,4,2.9
17,29,2.2
17,10,4.2
17,30,2.0
17,18,3.9
17,21,3.4
17,31,4.6
18,8,3.0
18,30,2.5
18,35,3.6
18,24,4.5
18,9,3.9
18,29,2.8
18,37,1.6
18,7,3.4
18,20,4.0
18,38,4.1
18,31,3.5
19,11,4.2
19,3,3.3
19,17,4.9
19,8,3.4
19,15,4.0
19,37,3.9
19,1,3.1
20,18,5.0
20,5,4.5
20,35,3.5
20,12,4.2
20,34,3.4
21,4,2.5
21,35,3.6
21,20,3.1
21,32,3.4
21,13,4.3
21,26,2.8
21,7,4.8
21,30,3.4
21,16,2.7
21,28,1.9
21,38,4.7
21,37,3.6
22,17,3.3
22,28,3.7
22,23,3.6
22,15,3.7
22,22,4.5
22,7,4.6
22,18,4.5
22,33,3.5
22,13,4.3
22,8,4.4
22,2,3.7
23,5,5.0
23,29,3.3
23,25,3.3
23,38,2.3
23,3,3.3
24,11,3.6
24,17,2.3
24,33,2.8
24,20,2.4
24,25,3.5
24,40,3.6
24,9,2.1
24,19,3.8
24,4,3.8
24,22,4.8
25,8,3.3
25,11,3.1
25,7,4.4
25,25,4.3
25,30,3.7
25,22,3.9
25,32,3.2
25,20,3.6
25,35,3.9
25,34,3.4
25,33,5.0
25,19,4.7
25,23,2.9
26,14,3.0
26,13,4.7
26,29,3.6
26,10,2.2
26,11,2.0
26,2,3.5
26,7,2.5
26,23,3.6
26,3,3.3
26,27,3.8
26,24,3.4
26,40,2.5
26,32,4.3
26,17,3.1
26,19,5.0
27,33,4.2
27,2,4.8
27,35,4.0
27,11,3.6
27,15,3.7
27,25,3.2
27,12,4.7
27,26,2.9
27,20,3.0
27,14,4.7
27,28,2.7
28,28,5.0
28,24,3.6
28,10,2.7
28,17,2.8
28,36,2.6
28,39,4.9
28,12,3.2
28,2,3.4
28,23,2.5
29,37,3.3
29,22,5.0
29,5,3.1
29,13,4.3
29,38,4.4
29,14,3.3
29,10,3.0
29,34,3.0
29,27,2.9
30,31,3.3
30,23,3.9
30,25,3.5
30,2,5.0
30,13,3.0
30,14,3.7
30,28,2.6
30,36,4.8
30,5,4.8
30,9,1.9
30,12,4.5
30,1,3.4
30,15,4.0
30,24,4.0
30,39,3.3
